Date;Price;Open;High;Low;Vol.;Change %;;;
45313;395564;41.581.7;41.684.9;39.468.4;85100.0;-0.0487;;;
45312;415832;41.695.4;41.878.0;41.504.5;16110.0;-0.0027;;;
45311;416954;41.647.6;41.858.0;41.449.5;22270.0;0.0011;;;
45310;416480;41.293.8;42.164.6;40.305.4;72640.0;0.0086;;;
45309;412927;42.763.5;42.908.0;40.682.6;70350.0;-0.0345;;;
45308;427687;43.139.1;43.192.3;42.211.8;50440.0;-0.0087;;;
45307;431455;42.515.2;43.563.7;42.093.1;63930.0;0.0149;;;
45306;425107;41.747.6;43.348.9;41.719.2;52080.0;0.0183;;;
45305;417461;42.851.3;43.069.4;41.739.6;37140.0;-0.0258;;;
45304;428513;42.836.7;43.248.6;42.443.3;48180.0;0.0004;;;
45303;428359;46.348.1;46.503.2;41.857.9;136920.0;-0.0758;;;
45302;463482;46.629.3;48.923.7;45.651.8;13.103.999.999.999.900;-0.006;;;
45301;466293;46.112.0;47.654.3;44.403.6;131480.0;0.0108;;;
45300;461290;46.959.2;47.880.1;45.333.9;100090.0;-0.0177;;;
45299;469622;43.934.2;47.196.7;43.251.0;103090.0;0.0691;;;
45298;439273;43.973.5;44.481.2;43.627.9;29530.0;-0.0009;;;
45297;439679;44.156.6;44.203.2;43.424.0;24260.0;-0.0043;;;
45296;441569;44.163.0;44.312.1;42.629.0;68070.0;0.0;;;
45295;441570;42.836.1;44.744.5;42.632.8;68050.0;0.0308;;;
45294;428361;44.943.7;45.492.7;40.888.3;117650.0;-0.046900000000000004;;;
45293;449437;44.182.9;45.885.4;44.166.0;97840.0;0.0172;;;
45292;441834;42.272.5;44.187.0;42.196.7;36300.0;0.0452;;;
45291;422725;42.141.6;42.878.8;41.971.4;35580.0;0.0032;;;
45290;421367;42.074.7;42.592.2;41.527.3;35180.0;0.0015;;;
45289;420724;42.581.1;43.108.0;41.459.0;60980.0;-0.011899999999999999;;;
45288;425811;43.446.5;43.782.6;42.309.3;49840.0;-0.0199;;;
45287;434465;42.514.3;43.676.7;42.115.3;50100.0;0.022000000000000002;;;
45286;425133;43.579.9;43.594.9;41.796.6;56030.0;-0.024399999999999998;;;
45285;435785;42.982.0;43.792.7;42.745.3;32670.0;0.0139;;;
45284;429815;43.710.4;43.935.7;42.748.5;30860.0;-0.0167;;;
45283;437104;43.968.9;43.994.6;43.325.7;21290.0;-0.0059;;;
45282;439689;43.865.9;44.394.6;43.419.3;44500.0;0.0023;;;
45281;438659;43.660.3;44.241.8;43.310.2;48960.0;0.004699999999999999;;;
45280;436628;42.259.5;44.278.7;42.217.2;70190.0;0.0332;;;
45279;422593;42.659.7;43.473.3;41.842.7;55290.0;-0.009399999999999999;;;
45278;426597;41.369.1;42.728.0;40.554.0;61580.0;0.031200000000000002;;;
45277;413687;42.271.7;42.413.2;41.276.9;35460.0;-0.021400000000000002;;;
45276;422717;41.929.0;42.690.3;41.698.2;30110.0;0.008199999999999999;;;
45275;419290;43.025.2;43.080.7;41.697.9;45280.0;-0.0255;;;
45274;430259;42.886.3;43.392.7;41.591.2;59150.0;0.0033;;;
45273;428845;41.487.0;43.417.5;40.649.3;63110.0;0.0337;;;
45272;414870;41.256.1;42.070.9;40.691.5;57040.0;0.005600000000000001;;;
45271;412561;43.791.0;43.806.3;40.277.1;105190.0;-0.0579;;;
45270;437910;43.716.6;44.045.4;43.576.8;23810.0;0.0017000000000000001;;;
45269;437184;44.175.5;44.361.2;43.617.4;31670.0;-0.0103;;;
45268;441755;43.288.3;44.697.6;43.108.4;58440.0;0.020499999999999997;;;
45267;432897;43.774.4;44.046.4;42.860.5;63090.0;-0.0111;;;
45266;437763;44.076.2;44.283.7;43.466.7;72520.0;-0.0068000000000000005;;;
45265;440762;41.989.6;44.424.1;41.424.9;96840.0;0.049699999999999994;;;
45264;419878;39.968.6;42.394.4;39.968.6;104210.0;0.050499999999999996;;;
45263;399702;39.456.8;40.178.9;39.280.3;35270.0;0.013000000000000001;;;
45262;394584;38.688.2;39.673.4;38.646.5;37090.0;0.0199;;;
45261;386882;37.712.9;38.950.8;37.618.3;62500.0;0.0259;;;
45260;377129;37.857.6;38.144.4;37.509.2;33530.0;-0.0038;;;
45259;378555;37.823.3;38.362.9;37.607.6;49340.0;0.0009;;;
45258;378233;37.244.3;38.379.4;36.881.1;57500.0;0.0154;;;
45257;372486;37.451.8;37.563.3;36.751.5;45240.0;-0.0054;;;
45256;374518;37.786.4;37.819.1;37.166.3;29200.0;-0.0089;;;
45255;377870;37.718.6;37.887.4;37.599.9;16090.0;0.0018;;;
45254;377173;37.295.0;38.400.8;37.257.4;65830.0;0.011399999999999999;;;
45253;372931;37.410.8;37.642.5;36.915.3;32350.0;-0.0031;;;
45252;374108;35.797.5;37.862.5;35.695.6;64810.0;0.0446;;;
45251;358136;37.452.7;37.631.2;35.799.2;71070.0;-0.0438;;;
45250;374541;37.356.6;37.735.6;36.857.6;51800.0;0.0027;;;
45249;373542;36.568.6;37.504.6;36.393.3;26140.0;0.0215;;;
45248;365686;36.617.5;36.845.2;36.220.6;20880.0;-0.0007000000000000001;;;
45247;365954;36.161.8;36.690.6;35.875.2;51370.0;0.012;;;
45246;361612;37.873.9;37.907.6;35.561.6;66920.0;-0.0452;;;
45245;378749;35.549.3;37.954.1;35.379.6;75510.0;0.0654;;;
45244;355493;36.478.3;36.744.5;34.984.3;63560.0;-0.0255;;;
45243;364783;37.067.8;37.404.6;36.358.4;44550.0;-0.0158;;;
45242;370644;37.149.0;37.215.3;36.761.9;21450.0;-0.0023;;;
45241;371505;37.306.3;37.401.3;36.767.6;29530.0;-0.0040999999999999995;;;
45240;373030;36.700.5;37.496.1;36.347.2;59560.0;0.016399999999999998;;;
45239;367005;35.636.9;37.942.0;35.578.1;115560.0;0.0298;;;
45238;356369;35.426.2;36.050.2;35.148.8;46330.0;0.006;;;
45237;354261;35.042.1;35.877.9;34.536.9;53490.0;0.011000000000000001;;;
45236;350420;35.020.3;35.275.6;34.742.9;29810.0;0.0006;;;
45235;350194;35.065.8;35.360.2;34.550.0;31020.0;-0.0013;;;
45234;350658;34.718.6;35.242.2;34.601.1;23800.0;0.01;;;
45233;347187;34.931.4;34.940.6;34.124.2;54540.0;-0.0060999999999999995;;;
45232;349314;35.423.8;35.907.6;34.357.4;63660.0;-0.0139;;;
45231;354238;34.648.3;35.557.5;34.138.7;71660.0;0.0223;;;
45230;346506;34.478.9;34.704.6;34.053.9;43400.0;0.005;;;
45229;344779;34.526.7;34.853.3;34.089.5;45200.0;-0.0014000000000000002;;;
45228;345267;34.082.6;34.737.9;33.937.6;27720.0;0.013000000000000001;;;
45227;340826;33.901.6;34.387.8;33.867.3;22000.0;0.0053;;;
45226;339018;34.153.7;34.245.8;33.423.6;47330.0;-0.0074;;;
45225;341537;34.497.6;34.826.0;33.749.9;56620.0;-0.009899999999999999;;;
45224;344968;33.917.0;35.123.9;33.713.4;75810.0;0.0171;;;
45223;339170;33.037.3;35.191.4;32.866.5;159080.0;0.0265;;;
45222;330418;29.984.2;34.375.6;29.891.4;133460.0;0.102;;;
45221;299842;29.912.7;30.193.4;29.713.6;29070.0;0.0024;;;
45220;299129;29.674.7;30.264.8;29.469.1;34680.0;0.008;;;
45219;296745;28.724.0;30.165.9;28.586.1;82680.0;0.0331;;;
45218;287230;28.321.8;28.883.8;28.170.2;50100.0;0.014199999999999999;;;
45217;283217;28.405.2;28.876.0;28.169.0;45010.0;-0.0029;;;
45216;284036;28.508.3;28.608.5;28.096.9;53420.0;-0.0037;;;
45215;285097;27.161.2;29.969.5;27.119.7;119180.0;0.0496;;;
45214;271612;26.852.8;27.286.9;26.812.6;21950.0;0.0115;;;
45213;268528;26.863.5;26.975.7;26.805.1;13560.0;-0.0004;;;
45212;268635;26.761.1;27.114.8;26.682.9;33660.0;0.0038;;;
45211;267611;26.878.2;26.942.8;26.565.3;32750.0;-0.0043;;;
45210;268766;27.391.9;27.475.9;26.558.4;55780.0;-0.018799999999999997;;;
45209;273910;27.581.5;27.728.1;27.300.1;34320.0;-0.0069;;;
45208;275814;27.922.7;27.986.4;27.279.5;44810.0;-0.012199999999999999;;;
45207;279227;27.961.1;28.097.5;27.714.4;24110.0;-0.0014000000000000002;;;
45206;279611;27.935.5;28.021.3;27.859.0;17290.0;0.0009;;;
45205;279369;27.410.3;28.223.6;27.195.7;52510.0;0.0192;;;
45204;274103;27.783.5;28.089.1;27.371.7;46260.0;-0.0137;;;
45203;277909;27.428.7;27.832.7;27.242.5;40930.0;0.0132;;;
45202;274284;27.501.6;27.670.8;27.194.1;44060.0;-0.0028000000000000004;;;
45201;275053;27.974.6;28.556.6;27.325.2;84300.0;-0.0168;;;
45200;279745;26.962.5;28.038.4;26.955.7;35110.0;0.0375;;;
45199;269627;26.908.1;27.085.7;26.887.5;17550.0;0.002;;;
45198;269098;27.022.6;27.229.5;26.728.8;42240.0;-0.0042;;;
45197;270226;26.368.2;27.283.6;26.339.4;64560.0;0.024900000000000002;;;
45196;263661;26.218.9;26.836.9;26.109.1;50800.0;0.005600000000000001;;;
45195;262189;26.303.1;26.396.2;26.093.4;26410.0;-0.0032;;;
45194;263027;26.251.6;26.423.6;26.013.6;38200.0;0.002;;;
45193;262515;26.579.0;26.727.6;26.162.2;22320.0;-0.0123;;;
45192;265792;26.581.7;26.636.2;26.517.5;12920.0;-0.0001;;;
45191;265819;26.569.5;26.736.4;26.488.5;28790.0;0.0004;;;
45190;265700;27.125.2;27.155.6;26.382.3;47810.0;-0.020499999999999997;;;
45189;271250;27.209.2;27.378.6;26.851.8;47230.0;-0.0031;;;
45188;272092;26.759.0;27.480.7;26.672.2;52170.0;0.0167;;;
45187;267635;26.530.3;27.413.3;26.405.2;63350.0;0.0088;;;
45186;265291;26.562.0;26.614.4;26.408.7;16570.0;-0.0012;;;
45185;265620;26.599.9;26.769.0;26.463.5;18450.0;-0.0015;;;
45184;266010;26.523.3;26.837.4;26.233.1;36470.0;0.0029;;;
45183;265247;26.223.0;26.760.3;26.148.6;53820.0;0.0115;;;
45182;262230;25.836.1;26.382.3;25.766.9;42580.0;0.015;;;
45181;258345;25.166.4;26.472.6;25.133.5;78710.0;0.0265;;;
45180;251664;25.840.2;25.897.4;24.923.1;56320.0;-0.026099999999999998;;;
45179;258402;25.901.1;25.995.1;25.626.7;23600.0;-0.0024;;;
45178;259011;25.909.5;25.938.5;25.814.3;13480.0;-0.0003;;;
45177;259095;26.248.5;26.415.4;25.701.6;41010.0;-0.013000000000000001;;;
45176;262498;25.758.0;26.417.7;25.626.5;39770.0;0.0191;;;
45175;257580;25.790.1;26.018.4;25.411.7;37780.0;-0.0013;;;
45174;257902;25.824.4;25.864.0;25.596.3;28400.0;-0.0013;;;
45173;258233;25.971.0;26.094.2;25.660.9;27130.0;-0.005699999999999999;;;
45172;259710;25.869.7;26.090.4;25.816.6;21360.0;0.0039000000000000003;;;
45171;258697;25.803.5;25.977.4;25.752.7;21240.0;0.0026;;;
45170;258032;25.938.3;26.144.9;25.361.9;58080.0;-0.0052;;;
45169;259373;27.300.6;27.464.5;25.731.0;69110.0;-0.0499;;;
45168;272988;27.723.9;27.757.3;27.043.2;46540.0;-0.015300000000000001;;;
45167;277239;26.118.1;28.046.0;25.919.8;98320.0;0.061399999999999996;;;
45166;261189;26.100.6;26.215.7;25.891.0;28840.0;0.0007000000000000001;;;
45165;261006;26.017.1;26.176.8;25.968.7;14290.0;0.0032;;;
45164;260171;26.057.2;26.114.1;25.993.5;12090.0;-0.0015;;;
45163;260572;26.176.1;26.265.7;25.811.6;39960.0;-0.0046;;;
45162;261770;26.436.2;26.560.5;25.943.6;41040.0;-0.0098;;;
45161;264362;26.042.0;26.807.7;25.812.6;60960.0;0.0152;;;
45160;260399;26.126.8;26.138.8;25.481.9;47720.0;-0.0033;;;
45159;261260;26.190.8;26.220.9;25.850.8;41100.0;-0.0025;;;
45158;261908;26.099.5;26.269.1;25.998.5;24000.0;0.0034999999999999996;;;
45157;260994;26.053.3;26.262.2;25.799.5;33040.0;0.0018;;;
45156;260532;26.635.7;26.801.9;25.691.0;93050.0;-0.0219;;;
45155;266357;28.726.1;28.771.8;25.489.4;132920.0;-0.0728;;;
45154;287263;29.195.3;29.251.1;28.717.6;43710.0;-0.0161;;;
45153;291953;29.426.7;29.472.0;29.118.6;33810.0;-0.0079;;;
45152;294267;29.300.1;29.689.0;29.116.0;39300.0;0.0043;;;
45151;293001;29.428.2;29.468.5;29.272.3;13490.0;-0.0044;;;
45150;294282;29.420.8;29.480.8;29.375.4;11070.0;0.0002;;;
45149;294208;29.448.9;29.544.9;29.271.2;27710.0;-0.001;;;
45148;294490;29.578.0;29.719.4;29.377.5;32000.0;-0.0044;;;
45147;295780;29.771.3;30.104.0;29.384.2;49670.0;-0.0067;;;
