Date,Price,Open,High,Low,Vol,Change
45305,41.746,42.851,43.69,41.739,37.14,-2.58%
45304,42.851,42.836,43.248,42.443,48.18,0.04%
45303,42.835,46.348,46.503,41.857,136.92,-7.58%
45302,46.348,46.629,48.923,45.651,131.4,-0.60%
45301,46.629,46.112,47.654,44.403,131.48,1.08%
45300,46.129,46.959,47.880,45.333,100.9,-1.77%
45299,46.962,43.934,47.196,43.251,103.9,6.91%
45298,43.927,43.973,44.481,43.627,29.53,-0.09%
45297,43.967,44.156,44.203,43.424,24.26,-0.43%
45296,44.156,44.163,44.312,42.629,68.7,0.00%
45295,44.157,42.836,44.744,42.632,68.5,3.08%
45294,42.836,44.943,45.492,40.888,117.65,-4.69%
45293,44.943,44.182,45.885,44.166,97.84,1.72%
45292,44.183,42.272,44.187,42.196,36.30,4.52%
45291,42.272,42.141,42.878,41.971,35.58,0.32%
45290,42.136,42.74,42.592,41.527,35.18,0.15%
45289,42.72,42.581,43.108,41.459,60.98,-1.19%
45288,42.581,43.446,43.782,42.309,49.84,-1.99%
45287,43.446,42.514,43.676,42.115,50.10,2.20%
45286,42.513,43.579,43.594,41.796,56.3,-2.44%
45285,43.578,42.982,43.792,42.745,32.67,1.39%
45284,42.981,43.710,43.935,42.748,30.86,-1.67%
45283,43.710,43.968,43.994,43.325,21.29,-0.59%
45282,43.968,43.865,44.394,43.419,44.50,0.23%
45281,43.865,43.660,44.241,43.310,48.96,0.47%
45280,43.662,42.259,44.278,42.217,70.19,3.32%
45279,42.259,42.659,43.473,41.842,55.29,-0.94%
45278,42.659,41.369,42.728,40.554,61.58,3.12%
45277,41.368,42.271,42.413,41.276,35.46,-2.14%
45276,42.271,41.929,42.690,41.698,30.11,0.82%
45275,41.929,43.25,43.80,41.697,45.28,-2.55%
45274,43.25,42.886,43.392,41.591,59.15,0.33%
45273,42.884,41.487,43.417,40.649,63.11,3.37%
45272,41.487,41.256,42.70,40.691,57.4,0.56%
45271,41.256,43.791,43.806,40.277,105.19,-5.79%
45270,43.791,43.716,44.45,43.576,23.81,0.17%
45269,43.718,44.175,44.361,43.617,31.67,-1.03%
45268,44.175,43.288,44.697,43.108,58.44,2.05%
45267,43.289,43.774,44.46,42.860,63.9,-1.11%
45266,43.776,44.76,44.283,43.466,72.52,-0.68%
45265,44.76,41.989,44.424,41.424,96.84,4.97%
45264,41.987,39.968,42.394,39.968,104.21,5.05%
45263,39.970,39.456,40.178,39.280,35.27,1.30%
45262,39.458,38.688,39.673,38.646,37.9,1.99%
45261,38.688,37.712,38.950,37.618,62.50,2.59%
45260,37.712,37.857,38.144,37.509,33.53,-0.38%
45259,37.855,37.823,38.362,37.607,49.34,0.09%
45258,37.823,37.244,38.379,36.881,57.50,1.54%
45257,37.248,37.451,37.563,36.751,45.24,-0.54%
45256,37.451,37.786,37.819,37.166,29.20,-0.89%
45255,37.787,37.718,37.887,37.599,16.9,0.18%
45254,37.717,37.295,38.400,37.257,65.83,1.14%
45253,37.293,37.410,37.642,36.915,32.35,-0.31%
45252,37.410,35.797,37.862,35.695,64.81,4.46%
45251,35.813,37.452,37.631,35.799,71.7,-4.38%
45250,37.454,37.356,37.735,36.857,51.80,0.27%
45249,37.354,36.568,37.504,36.393,26.14,2.15%
45248,36.568,36.617,36.845,36.220,20.88,-0.07%
45247,36.595,36.161,36.690,35.875,51.37,1.20%
45246,36.161,37.873,37.907,35.561,66.92,-4.52%
45245,37.874,35.549,37.954,35.379,75.51,6.54%
45244,35.549,36.478,36.744,34.984,63.56,-2.55%
45243,36.478,37.67,37.404,36.358,44.55,-1.58%
45242,37.64,37.149,37.215,36.761,21.45,-0.23%
45241,37.150,37.306,37.401,36.767,29.53,-0.41%
45240,37.303,36.700,37.496,36.347,59.56,1.64%
45239,36.700,35.636,37.942,35.578,115.56,2.98%
45238,35.636,35.426,36.50,35.148,46.33,0.60%
45237,35.426,35.42,35.877,34.536,53.49,1.10%
45236,35.42,35.20,35.275,34.742,29.81,0.06%
45235,35.19,35.65,35.360,34.550,31.2,-0.13%
45234,35.65,34.718,35.242,34.601,23.80,1.00%
45233,34.718,34.931,34.940,34.124,54.54,-0.61%
45232,34.931,35.423,35.907,34.357,63.66,-1.39%
45231,35.423,34.648,35.557,34.138,71.66,2.23%
45230,34.650,34.478,34.704,34.53,43.40,0.50%
45229,34.477,34.526,34.853,34.89,45.20,-0.14%
45228,34.526,34.82,34.737,33.937,27.72,1.30%
45227,34.82,33.901,34.387,33.867,22.0,0.53%
45226,33.901,34.153,34.245,33.423,47.33,-0.74%
45225,34.153,34.497,34.826,33.749,56.62,-0.99%
45224,34.496,33.917,35.123,33.713,75.81,1.71%
45223,33.917,33.37,35.191,32.866,159.8,2.65%
45222,33.41,29.984,34.375,29.891,133.46,10.20%
45221,29.984,29.912,30.193,29.713,29.7,0.24%
45220,29.912,29.674,30.264,29.469,34.68,0.80%
45219,29.674,28.724,30.165,28.586,82.68,3.31%
45218,28.723,28.321,28.883,28.170,50.10,1.42%
45217,28.321,28.405,28.876,28.169,45.1,-0.29%
45216,28.403,28.508,28.608,28.96,53.42,-0.37%
45215,28.509,27.161,29.969,27.119,119.18,4.96%
45214,27.161,26.852,27.286,26.812,21.95,1.15%
45213,26.852,26.863,26.975,26.805,13.56,-0.04%
45212,26.863,26.761,27.114,26.682,33.66,0.38%
45211,26.761,26.878,26.942,26.565,32.75,-0.43%
45210,26.876,27.391,27.475,26.558,55.78,-1.88%
45209,27.391,27.581,27.728,27.300,34.32,-0.69%
45208,27.581,27.922,27.986,27.279,44.81,-1.22%
45207,27.922,27.961,28.97,27.714,24.11,-0.14%
45206,27.961,27.935,28.21,27.859,17.29,0.09%
45205,27.936,27.410,28.223,27.195,52.51,1.92%
45204,27.410,27.783,28.89,27.371,46.26,-1.37%
45203,27.790,27.428,27.832,27.242,40.93,1.32%
45202,27.428,27.501,27.670,27.194,44.6,-0.28%
45201,27.505,27.974,28.556,27.325,84.30,-1.68%
45200,27.974,26.962,28.38,26.955,35.11,3.75%
45199,26.962,26.908,27.85,26.887,17.55,0.20%
45198,26.909,27.22,27.229,26.728,42.24,-0.42%
45197,27.22,26.368,27.283,26.339,64.56,2.49%
45196,26.366,26.218,26.836,26.109,50.80,0.56%
45195,26.218,26.303,26.396,26.93,26.41,-0.32%
45194,26.302,26.251,26.423,26.13,38.20,0.20%
45193,26.251,26.579,26.727,26.162,22.32,-1.23%
45192,26.579,26.581,26.636,26.517,12.92,-0.01%
45191,26.581,26.569,26.736,26.488,28.79,0.04%
45190,26.570,27.125,27.155,26.382,47.81,-2.05%
45189,27.125,27.209,27.378,26.851,47.23,-0.31%
45188,27.209,26.759,27.480,26.672,52.17,1.67%
45187,26.763,26.530,27.413,26.405,63.35,0.88%
45186,26.529,26.562,26.614,26.408,16.57,-0.12%
45185,26.562,26.599,26.769,26.463,18.45,-0.15%
45184,26.601,26.523,26.837,26.233,36.47,0.29%
45183,26.524,26.223,26.760,26.148,53.82,1.15%
45182,26.223,25.836,26.382,25.766,42.58,1.50%
45181,25.834,25.166,26.472,25.133,78.71,2.65%
45180,25.166,25.840,25.897,24.923,56.32,-2.61%
45179,25.840,25.901,25.995,25.626,23.60,-0.24%
45178,25.901,25.909,25.938,25.814,13.48,-0.03%
45177,25.909,26.248,26.415,25.701,41.1,-1.30%
45176,26.249,25.758,26.417,25.626,39.77,1.91%
45175,25.758,25.790,26.18,25.411,37.78,-0.13%
45174,25.790,25.824,25.864,25.596,28.40,-0.13%
45173,25.823,25.971,26.94,25.660,27.13,-0.57%
45172,25.971,25.869,26.90,25.816,21.36,0.39%
45171,25.869,25.803,25.977,25.752,21.24,0.26%
45170,25.803,25.938,26.144,25.361,58.8,-0.52%
45169,25.937,27.300,27.464,25.731,69.11,-4.99%
45168,27.298,27.723,27.757,27.43,46.54,-1.53%
