Date	Price	Open	High	Low	Vol	Change		Date,	Price,	Open,	High,	Low,	Vol,
02/09/2023	25.869.7	25.803.5	25.977.4	25.752.7	21.24	0.26%							
01/09/2023	25.803.2	25.938.3	26.144.9	25.361.9	58.08	-0.52%							
31/08/2023	25.937.3	27.300.6	27.464.5	25.731.0	69.11	-4.99%							
30/08/2023	27.298.8	27.723.9	27.757.3	27.043.2	46.54	-1.53%							
29/08/2023	27.723.9	26.118.1	28.046.0	25.919.8	98.32	6.14%							
28/08/2023	26.118.9	26.100.6	26.215.7	25.891.0	28.84	0.07%							
27/08/2023	26.100.6	26.017.1	26.176.8	25.968.7	14.29	0.32%							
26/08/2023	26.017.1	26.057.2	26.114.1	25.993.5	12.09	-0.15%							
25/08/2023	26.057.2	26.176.1	26.265.7	25.811.6	39.96	-0.46%							
24/08/2023	26.177.0	26.436.2	26.560.5	25.943.6	41.04	-0.98%							
23/08/2023	26.436.2	26.042.0	26.807.7	25.812.6	60.96	1.52%							
22/08/2023	26.039.9	26.126.8	26.138.8	25.481.9	47.72	-0.33%							
21/08/2023	26.126.0	26.190.8	26.220.9	25.850.8	41.10	-0.25%							
20/08/2023	26.190.8	26.099.5	26.269.1	25.998.5	24.00	0.35%							
19/08/2023	26.099.4	26.053.3	26.262.2	25.799.5	33.04	0.18%							
18/08/2023	26.053.2	26.635.7	26.801.9	25.691.0	93.05	-2.19%							
17/08/2023	26.635.7	28.726.1	28.771.8	25.489.4	132.92	-7.28%							
16/08/2023	28.726.3	29.195.3	29.251.1	28.717.6	43.71	-1.61%							
15/08/2023	29.195.3	29.426.7	29.472.0	29.118.6	33.81	-0.79%							
14/08/2023	29.426.7	29.300.1	29.689.0	29.116.0	39.30	0.43%							
13/08/2023	29.300.1	29.428.2	29.468.5	29.272.3	13.49	-0.44%							
12/08/2023	29.428.2	29.420.8	29.480.8	29.375.4	11.07	0.02%							
11/08/2023	29.420.8	29.448.9	29.544.9	29.271.2	27.71	-0.10%							
10/08/2023	29.449.0	29.578.0	29.719.4	29.377.5	32.00	-0.44%							
09/08/2023	29.578.0	29.771.3	30.104.0	29.384.2	49.67	-0.67%							
08/08/2023	29.777.4	29.204.2	30.168.6	29.137.7	62.57	1.96%							
07/08/2023	29.204.2	29.081.3	29.270.2	28.721.0	41.19	0.42%							
06/08/2023	29.081.3	29.067.9	29.198.9	28.987.4	16.03	0.05%							
05/08/2023	29.068.1	29.105.6	29.139.3	28.983.0	14.55	-0.13%							
04/08/2023	29.105.5	29.189.1	29.319.1	28.875.8	31.43	-0.29%							
03/08/2023	29.189.3	29.180.9	29.409.8	28.981.0	36.08	0.05%							
02/08/2023	29.173.7	29.711.8	30.025.9	28.961.6	67.41	-1.81%							
01/08/2023	29.712.2	29.232.3	29.712.2	28.611.0	64.01	1.64%							
31/07/2023	29.232.4	29.282.0	29.502.3	29.128.3	31.84	-0.17%							
30/07/2023	29.281.7	29.354.2	29.446.6	29.054.5	20.58	-0.24%							
29/07/2023	29.353.5	29.315.0	29.400.1	29.256.9	13.90	0.13%							
28/07/2023	29.315.0	29.222.7	29.533.0	29.125.1	31.42	0.32%							
27/07/2023	29.222.7	29.352.9	29.568.8	29.094.0	30.42	-0.44%							
26/07/2023	29.352.2	29.228.8	29.681.8	29.109.7	44.33	0.42%							
25/07/2023	29.228.6	29.178.3	29.365.4	29.058.7	29.05	0.17%							
24/07/2023	29.178.1	30.085.9	30.098.2	28.890.7	55.73	-3.02%							
23/07/2023	30.085.9	29.788.9	30.337.0	29.735.7	23.32	1.00%							
22/07/2023	29.788.9	29.904.5	29.988.0	29.657.3	18.47	-0.38%							
21/07/2023	29.903.1	29.801.0	30.058.9	29.739.9	32.59	0.34%							
20/07/2023	29.801.0	29.909.7	30.408.0	29.621.4	50.33	-0.36%							
19/07/2023	29.909.7	29.866.7	30.185.5	29.789.3	34.96	0.14%							
18/07/2023	29.866.8	30.139.7	30.242.4	29.624.6	42.40	-0.91%							
17/07/2023	30.139.7	30.235.5	30.335.9	29.693.3	42.84	-0.32%							
16/07/2023	30.235.5	30.291.8	30.435.0	30.075.4	20.31	-0.18%							
15/07/2023	30.291.4	30.316.8	30.395.4	30.246.9	17.06	-0.09%							
14/07/2023	30.317.4	31.465.4	31.602.6	29.944.3	82.42	-3.65%							
13/07/2023	31.466.1	30.387.3	31.764.5	30.260.0	99.81	3.55%							
12/07/2023	30.387.3	30.623.3	30.951.3	30.231.7	54.06	-0.77%							
11/07/2023	30.623.3	30.414.2	30.782.2	30.333.8	39.84	0.68%							
10/07/2023	30.415.3	30.166.9	31.019.6	29.969.1	55.24	0.82%							
09/07/2023	30.166.9	30.288.8	30.425.5	30.071.9	20.05	-0.40%							
08/07/2023	30.288.8	30.346.8	30.379.9	30.055.9	17.41	-0.19%							
07/07/2023	30.346.4	29.912.7	30.442.0	29.757.4	46.42	1.45%							
06/07/2023	29.913.1	30.512.8	31.463.6	29.869.0	90.81	-1.97%							
05/07/2023	30.512.8	30.768.6	30.875.6	30.233.3	43.23	-0.83%							
04/07/2023	30.768.4	31.152.0	31.326.5	30.657.8	42.12	-1.23%							
03/07/2023	31.151.3	30.617.5	31.377.0	30.581.5	56.49	1.74%							
02/07/2023	30.617.7	30.587.1	30.769.0	30.227.9	28.82	0.10%							
01/07/2023	30.586.8	30.472.9	30.649.9	30.329.0	22.46	0.37%							
30/06/2023	30.472.9	30.445.7	31.275.5	29.714.5	118.65	0.09%							
29/06/2023	30.445.7	30.077.3	30.823.1	30.051.3	49.57	1.22%							
28/06/2023	30.078.6	30.691.9	30.703.4	29.919.5	51.06	-1.99%							
27/06/2023	30.689.1	30.267.0	30.993.7	30.231.3	55.82	1.39%							
26/06/2023	30.267.0	30.466.3	30.645.9	29.986.3	58.71	-0.65%							
25/06/2023	30.465.3	30.533.6	31.040.2	30.315.8	37.12	-0.22%							
24/06/2023	30.533.6	30.680.7	30.795.3	30.269.4	38.15	-0.48%							
23/06/2023	30.679.4	29.890.2	31.395.4	29.822.6	98.85	2.64%							
22/06/2023	29.890.5	29.992.8	30.497.8	29.590.4	79.22	-0.35%							
21/06/2023	29.996.9	28.307.7	30.769.5	28.270.5	143.49	5.97%							
20/06/2023	28.307.7	26.845.9	28.393.0	26.665.5	100.55	5.44%							
19/06/2023	26.845.9	26.339.7	27.029.7	26.295.1	46.45	1.92%							
18/06/2023	26.339.7	26.515.0	26.679.3	26.290.6	27.31	-0.66%							
17/06/2023	26.515.0	26.341.3	26.767.3	26.183.5	35.86	0.66%							
16/06/2023	26.341.3	25.591.9	26.472.8	25.276.0	69.24	2.93%							
15/06/2023	25.591.3	25.129.5	25.732.8	24.838.0	68.38	1.84%							
14/06/2023	25.129.5	25.929.0	26.051.7	24.847.4	60.82	-3.08%							
13/06/2023	25.929.4	25.906.9	26.428.9	25.726.4	56.24	0.09%							
12/06/2023	25.906.8	25.927.9	26.080.7	25.635.0	40.75	-0.08%							
11/06/2023	25.928.4	25.843.3	26.190.1	25.660.8	39.20	0.33%							
10/06/2023	25.844.0	26.479.3	26.525.1	25.468.3	83.57	-2.40%							
09/06/2023	26.479.3	26.501.1	26.773.9	26.326.7	38.96	-0.08%							
08/06/2023	26.501.1	26.341.8	26.784.4	26.231.3	39.95	0.60%							
07/06/2023	26.342.5	27.230.2	27.342.0	26.141.0	77.48	-3.26%							
06/06/2023	27.230.2	25.745.6	27.325.2	25.425.6	88.61	5.76%							
05/06/2023	25.747.4	27.122.3	27.125.5	25.437.5	85.42	-5.07%							
04/06/2023	27.122.3	27.070.9	27.410.2	26.956.1	23.81	0.19%							
03/06/2023	27.072.0	27.246.0	27.317.5	26.931.4	20.62	-0.63%							
02/06/2023	27.244.7	26.819.0	27.299.4	26.541.3	49.37	1.59%							
01/06/2023	26.819.0	27.216.4	27.340.9	26.662.3	51.98	-1.46%							
31/05/2023	27.216.1	27.696.9	27.825.0	26.865.1	63.08	-1.74%							
30/05/2023	27.698.2	27.738.9	28.033.6	27.583.8	45.19	-0.15%							
29/05/2023	27.739.4	28.068.4	28.431.2	27.548.8	54.56	-1.18%							
28/05/2023	28.071.2	26.855.3	28.181.9	26.788.5	55.23	4.52%							
27/05/2023	26.857.5	26.711.2	26.882.9	26.591.2	18.68	0.55%							
26/05/2023	26.711.5	26.475.5	26.911.6	26.330.0	45.88	0.89%							
25/05/2023	26.475.8	26.327.1	26.589.2	25.892.5	50.17	0.56%							
24/05/2023	26.328.4	27.220.7	27.220.7	26.088.7	72.65	-3.28%							
23/05/2023	27.220.7	26.851.6	27.448.1	26.804.1	50.89	1.39%							
22/05/2023	26.847.3	26.749.9	27.048.9	26.546.1	35.56	0.36%							
21/05/2023	26.749.9	27.116.2	27.257.1	26.677.6	27.42	-1.35%							
20/05/2023	27.116.2	26.883.0	27.147.2	26.831.3	17.72	0.87%							
19/05/2023	26.882.9	26.828.2	27.154.7	26.711.3	36.67	0.20%							
18/05/2023	26.828.0	27.403.8	27.467.0	26.449.8	63.39	-2.10%							
17/05/2023	27.403.1	27.035.5	27.465.3	26.597.7	58.14	1.36%							
16/05/2023	27.035.3	27.183.9	27.295.3	26.881.9	45.29	-0.55%							
15/05/2023	27.183.9	26.920.4	27.651.7	26.752.1	53.27	0.98%							
14/05/2023	26.920.0	26.777.4	27.176.1	26.609.9	26.35	0.53%							
13/05/2023	26.777.5	26.798.7	27.011.9	26.695.6	27.95	-0.08%							
12/05/2023	26.799.2	26.983.1	27.044.0	25.853.1	87.49	-0.68%							
11/05/2023	26.983.5	27.604.3	27.607.4	26.766.2	62.85	-2.25%							
10/05/2023	27.603.3	27.634.3	28.311.7	26.885.7	91.45	-0.11%							
09/05/2023	27.634.9	27.670.5	27.816.0	27.366.3	49.75	-0.13%							
08/05/2023	27.670.5	28.424.8	28.627.8	27.280.3	85.72	-2.65%							
07/05/2023	28.424.8	28.857.1	29.122.0	28.419.6	36.50	-1.50%							
06/05/2023	28.857.1	29.512.8	29.816.4	28.414.9	58.94	-2.22%							
05/05/2023	29.513.2	28.842.2	29.653.9	28.825.3	74.52	2.33%							
04/05/2023	28.842.1	29.023.6	29.352.7	28.687.4	53.80	-0.63%							
03/05/2023	29.023.6	28.669.1	29.244.7	28.164.4	81.22	1.24%							
02/05/2023	28.669.1	28.079.0	28.877.4	27.913.2	65.33	2.11%							
01/05/2023	28.077.6	29.252.1	29.329.6	27.685.9	84.36	-4.02%							
30/04/2023	29.252.1	29.235.1	29.941.3	29.095.0	47.62	0.06%							
29/04/2023	29.234.1	29.318.4	29.425.5	29.058.5	25.72	-0.30%							
28/04/2023	29.321.8	29.475.9	29.587.2	28.927.8	69.88	-0.52%							
27/04/2023	29.475.9	28.424.5	29.859.8	28.392.4	121.63	3.70%							
26/04/2023	28.424.6	28.298.8	29.995.7	27.307.8	164.31	0.44%							
25/04/2023	28.298.8	27.510.1	28.375.6	27.201.1	65.31	2.87%							
24/04/2023	27.509.3	27.591.4	27.978.8	27.054.3	66.74	-0.30%							
23/04/2023	27.591.4	27.813.8	27.815.0	27.388.5	41.77	-0.80%							
22/04/2023	27.813.9	27.264.8	27.872.0	27.165.7	44.30	2.01%							
21/04/2023	27.264.8	28.240.5	28.353.4	27.171.1	98.72	-3.46%							
20/04/2023	28.240.5	28.813.7	29.082.1	28.032.4	95.45	-1.99%							
19/04/2023	28.813.7	30.382.2	30.408.4	28.641.1	111.27	-5.16%							
18/04/2023	30.382.2	29.434.1	30.470.1	29.149.2	76.58	3.22%							
17/04/2023	29.434.9	30.310.8	30.312.2	29.274.0	71.90	-2.89%							
16/04/2023	30.310.3	30.299.2	30.545.3	30.134.6	34.48	0.04%							
15/04/2023	30.299.6	30.472.6	30.586.5	30.208.8	31.71	-0.57%							
14/04/2023	30.472.5	30.387.4	30.964.9	30.026.0	98.38	0.28%							
13/04/2023	30.387.4	29.892.4	30.524.1	29.864.5	65.87	1.68%							
12/04/2023	29.886.4	30.209.8	30.473.0	29.679.5	78.69	-1.07%							
11/04/2023	30.209.6	29.641.0	30.484.6	29.597.8	89.38	1.92%							
10/04/2023	29.641.0	28.326.5	29.755.4	28.182.9	85.73	4.64%							
09/04/2023	28.326.6	27.941.2	28.522.7	27.809.2	39.35	1.38%							
08/04/2023	27.941.2	27.910.4	28.153.1	27.863.8	23.73	0.11%							
07/04/2023	27.910.4	28.037.6	28.102.5	27.779.4	30.94	-0.45%							
06/04/2023	28.036.7	28.173.5	28.173.5	27.734.5	51.29	-0.49%							
05/04/2023	28.173.5	28.164.4	28.744.4	27.823.5	77.32	0.03%							
04/04/2023	28.164.4	27.802.2	28.429.1	27.668.9	64.06	1.30%							
03/04/2023	27.802.1	28.194.7	28.458.4	27.256.9	98.00	-1.41%							
02/04/2023	28.198.3	28.456.1	28.522.8	27.871.7	45.04	-0.91%							
01/04/2023	28.456.1	28.473.7	28.795.1	28.285.6	38.09	-0.06%							
31/03/2023	28.473.7	28.029.3	28.646.3	27.587.5	98.44	1.58%							
30/03/2023	28.029.5	28.350.3	29.160.4	27.716.7	122.51	-1.13%							
29/03/2023	28.350.4	27.262.9	28.627.4	27.249.8	109.32	3.99%							
28/03/2023	27.262.2	27.127.8	27.465.0	26.665.6	94.16	0.49%							
27/03/2023	27.129.8	27.974.8	28.023.3	26.611.5	107.24	-3.02%							
26/03/2023	27.973.5	27.474.9	28.153.7	27.429.1	60.64	1.81%							
25/03/2023	27.475.6	27.462.2	27.761.9	27.176.7	61.36	0.05%							
24/03/2023	27.462.2	28.306.9	28.374.5	27.026.5	110.36	-3.00%							
23/03/2023	28.310.7	27.262.8	28.734.1	27.144.6	158.46	3.85%							
22/03/2023	27.261.7	28.114.2	28.760.3	26.668.7	262.03	-3.03%							
21/03/2023	28.114.0	27.719.8	28.437.8	27.350.6	438.78	1.42%							
20/03/2023	27.720.5	27.958.9	28.457.8	27.157.0	503.90	-0.85%							
19/03/2023	27.958.7	26.914.5	28.347.3	26.844.6	393.27	3.88%							
18/03/2023	26.914.5	27.391.9	27.659.1	26.688.7	392.47	-1.74%							
17/03/2023	27.391.8	25.004.4	27.742.2	24.900.1	674.96	9.55%							
16/03/2023	25.004.1	24.283.2	25.139.0	24.147.9	462.58	2.97%							
15/03/2023	24.282.7	24.699.6	25.108.9	23.932.4	614.31	-1.69%							
14/03/2023	24.699.7	24.121.5	26.365.9	23.994.6	753.06	2.43%							
13/03/2023	24.114.4	21.994.8	24.406.2	21.859.6	733.63	9.64%							
12/03/2023	21.994.8	20.465.0	22.028.6	20.294.2	455.69	7.46%							
11/03/2023	20.467.5	20.156.5	20.669.5	19.796.7	453.46	1.54%							
10/03/2023	20.156.7	20.362.0	20.362.6	19.591.8	655.27	-1.01%							
09/03/2023	20.361.8	21.710.8	21.826.5	20.079.6	468.76	-6.21%							
08/03/2023	21.710.8	22.197.8	22.274.3	21.661.3	316.51	-2.19%							
07/03/2023	22.197.8	22.410.1	22.535.1	21.968.6	304.75	-0.95%							
06/03/2023	22.410.0	22.428.2	22.595.4	22.320.1	215.31	-0.08%							
05/03/2023	22.428.3	22.347.1	22.636.7	22.213.5	160.57	0.36%							
04/03/2023	22.347.1	22.354.7	22.403.7	22.167.4	123.93	-0.03%							
03/03/2023	22.354.4	23.465.6	23.473.4	22.051.9	344.63	-4.73%							
02/03/2023	23.465.4	23.642.2	23.780.5	23.208.7	249.26	-0.75%							
01/03/2023	23.642.2	23.130.6	23.914.1	23.025.3	328.77	2.21%							
28/02/2023	23.130.5	23.494.0	23.595.0	23.033.8	275.10	-1.55%							
27/02/2023	23.494.1	23.558.7	23.876.2	23.166.8	297.65	-0.27%							
26/02/2023	23.558.7	23.166.1	23.671.8	23.066.0	209.12	1.69%							
25/02/2023	23.166.1	23.191.3	23.215.3	22.777.4	198.35	-0.11%							
24/02/2023	23.191.5	23.936.4	24.123.4	22.970.3	367.99	-3.11%							
23/02/2023	23.936.3	24.186.6	24.590.4	23.637.9	417.46	-1.03%							
22/02/2023	24.186.6	24.450.7	24.474.3	23.593.4	400.24	-1.08%							
21/02/2023	24.450.7	24.839.5	25.236.8	24.160.8	395.97	-1.57%							
20/02/2023	24.839.5	24.302.8	25.085.4	23.868.6	363.02	2.21%							
19/02/2023	24.302.9	24.631.3	25.175.2	24.273.7	312.64	-1.33%							
18/02/2023	24.631.4	24.573.5	24.838.9	24.457.0	223.77	0.24%							
17/02/2023	24.573.5	23.538.2	24.984.7	23.373.0	523.85	4.39%							
16/02/2023	23.539.6	24.328.1	25.233.8	23.525.9	484.50	-3.24%							
15/02/2023	24.327.9	22.198.5	24.330.9	22.050.8	401.53	9.59%							
14/02/2023	22.198.5	21.776.9	22.308.6	21.556.2	378.39	1.96%							
13/02/2023	21.772.6	21.782.7	21.887.5	21.418.7	312.04	-0.07%							
12/02/2023	21.786.8	21.859.9	22.080.7	21.653.1	211.65	-0.33%							
11/02/2023	21.859.8	21.627.4	21.902.9	21.605.3	182.07	1.04%							
10/02/2023	21.635.0	21.792.5	21.933.6	21.491.7	352.79	-0.72%							
09/02/2023	21.792.5	22.964.6	23.003.6	21.744.6	425.44	-5.10%							
08/02/2023	22.964.6	23.251.7	23.425.1	22.691.7	289.12	-1.23%							
07/02/2023	23.251.7	22.761.8	23.338.8	22.748.2	318.98	2.15%							
06/02/2023	22.761.8	22.936.0	23.130.6	22.633.7	278.58	-0.76%							
05/02/2023	22.936.0	23.326.9	23.423.4	22.766.5	217.26	-1.66%							
04/02/2023	23.323.8	23.431.2	23.571.8	23.269.8	170.27	-0.46%							
03/02/2023	23.431.2	23.429.1	23.694.1	23.233.8	349.36	0.02%							
02/02/2023	23.427.6	23.726.2	24.207.2	23.398.1	382.86	-1.26%							
01/02/2023	23.725.6	23.124.7	23.784.5	22.809.6	333.18	2.60%							
31/01/2023	23.125.1	22.832.2	23.262.9	22.724.9	289.38	1.28%							
30/01/2023	22.832.2	23.746.0	23.794.0	22.560.0	339.62	-3.88%							
29/01/2023	23.753.1	23.023.5	23.952.9	22.973.3	320.86	3.15%							
28/01/2023	23.027.9	23.074.6	23.182.3	22.889.8	156.96	-0.20%							
27/01/2023	23.074.6	23.016.0	23.480.3	22.602.9	310.36	0.25%							
26/01/2023	23.016.0	23.055.2	23.259.5	22.869.0	320.97	-0.17%							
25/01/2023	23.055.1	22.632.5	23.779.0	22.366.3	388.18	1.87%							
24/01/2023	22.632.5	22.916.3	23.156.1	22.517.1	334.17	-1.23%							
23/01/2023	22.915.5	22.709.0	23.161.8	22.527.9	327.85	0.91%							
22/01/2023	22.707.8	22.775.7	23.068.7	22.323.0	280.64	-0.30%							
21/01/2023	22.775.7	22.677.5	23.304.5	22.461.1	382.69	0.43%							
20/01/2023	22.677.2	21.074.9	22.718.5	20.879.3	373.74	7.57%							
19/01/2023	21.081.2	20.670.6	21.169.4	20.669.7	275.76	1.99%							
18/01/2023	20.670.6	21.137.1	21.584.1	20.448.3	388.67	-2.21%							
17/01/2023	21.137.1	21.184.4	21.506.4	20.926.2	310.04	-0.22%							
16/01/2023	21.184.2	20.880.1	21.416.8	20.698.9	337.46	1.46%							
15/01/2023	20.879.8	20.956.0	21.032.2	20.585.7	205.80	-0.37%							
14/01/2023	20.958.2	19.926.9	21.185.6	19.898.6	458.21	5.17%							
13/01/2023	19.927.0	18.850.8	19.981.6	18.723.8	426.67	5.71%							
12/01/2023	18.851.3	17.941.0	19.055.3	17.915.5	522.01	5.07%							
11/01/2023	17.942.3	17.440.5	17.989.8	17.323.9	291.53	2.89%							
10/01/2023	17.439.1	17.180.1	17.491.0	17.151.7	247.14	1.51%							
09/01/2023	17.180.1	17.119.0	17.390.8	17.107.1	301.24	0.36%							
08/01/2023	17.119.0	16.943.6	17.119.0	16.913.8	144.84	1.04%							
07/01/2023	16.943.6	16.950.9	16.979.6	16.909.7	110.48	-0.04%							
06/01/2023	16.950.9	16.829.8	17.012.3	16.707.6	233.47	0.72%							
05/01/2023	16.829.8	16.852.2	16.877.9	16.772.3	178.96	-0.13%							
04/01/2023	16.852.1	16.674.2	16.976.5	16.656.5	247.39	1.07%							
03/01/2023	16.674.2	16.673.1	16.773.2	16.607.2	178.73	0.00%							
02/01/2023	16.674.3	16.618.4	16.766.9	16.551.0	136.03	0.34%							
01/01/2023	16.618.4	16.537.5	16.621.9	16.499.7	107.84	0.49%							
31/12/2022	16.537.4	16.607.2	16.635.9	16.487.3	130.44	-0.42%							
30/12/2022	16.607.2	16.636.4	16.644.4	16.360.0	192.76	-0.18%							
29/12/2022	16.636.4	16.546.2	16.659.1	16.496.6	181.47	0.55%							
28/12/2022	16.546.2	16.705.9	16.781.1	16.474.2	217.96	-0.96%							
27/12/2022	16.706.1	16.918.2	16.964.0	16.610.1	192.18	-1.25%							
26/12/2022	16.918.1	16.831.8	16.936.1	16.799.4	133.36	0.51%							
25/12/2022	16.831.8	16.835.7	16.852.9	16.733.0	132.89	-0.03%							
24/12/2022	16.837.2	16.778.6	16.855.8	16.777.8	110.12	0.35%							
23/12/2022	16.779.1	16.820.5	16.910.7	16.768.0	184.12	-0.25%							
22/12/2022	16.820.6	16.831.8	16.862.2	16.566.1	198.28	-0.07%							
21/12/2022	16.831.8	16.902.7	16.919.4	16.735.0	174.34	-0.42%							
20/12/2022	16.902.8	16.441.3	17.031.3	16.400.7	284.57	2.81%							
19/12/2022	16.441.3	16.741.1	16.809.5	16.331.2	207.93	-1.79%							
18/12/2022	16.741.1	16.777.0	16.825.7	16.666.5	124.29	-0.21%							
17/12/2022	16.777.1	16.629.0	16.794.4	16.587.0	164.49	0.89%							
16/12/2022	16.629.6	17.356.7	17.518.5	16.542.4	303.56	-4.19%							
15/12/2022	17.356.1	17.796.4	17.846.1	17.298.2	263.44	-2.47%							
14/12/2022	17.796.4	17.778.6	18.351.8	17.682.1	318.98	0.10%							
13/12/2022	17.778.6	17.210.9	17.951.6	17.094.5	328.71	3.30%							
12/12/2022	17.210.4	17.093.2	17.232.5	16.878.5	249.39	0.68%							
11/12/2022	17.093.3	17.127.0	17.262.9	17.080.6	167.20	-0.20%							
10/12/2022	17.127.2	17.125.7	17.220.5	17.105.7	148.81	0.01%							
09/12/2022	17.125.7	17.225.6	17.288.6	17.082.1	260.84	-0.58%							
08/12/2022	17.225.7	16.835.2	17.294.2	16.765.8	261.64	2.32%							
07/12/2022	16.835.2	17.089.4	17.126.7	16.715.3	244.36	-1.49%							
06/12/2022	17.089.3	16.966.3	17.101.1	16.914.9	246.19	0.72%							
05/12/2022	16.966.5	17.106.9	17.395.2	16.886.9	268.72	-0.85%							
04/12/2022	17.112.6	16.884.8	17.198.1	16.881.6	197.12	1.35%							
03/12/2022	16.884.5	17.093.4	17.132.6	16.862.1	169.29	-1.22%							
02/12/2022	17.093.6	16.972.2	17.096.2	16.799.9	227.01	0.72%							
01/12/2022	16.972.0	17.163.4	17.244.7	16.868.9	266.14	-1.12%							
30/11/2022	17.163.9	16.440.8	17.215.5	16.433.2	348.22	4.40%							
29/11/2022	16.440.4	16.211.9	16.531.4	16.100.1	271.58	1.41%							
28/11/2022	16.211.7	16.426.1	16.481.4	16.013.5	284.84	-1.30%							
27/11/2022	16.425.6	16.456.4	16.595.4	16.414.6	173.25	-0.19%							
26/11/2022	16.456.5	16.512.3	16.686.3	16.387.9	194.94	-0.34%							
25/11/2022	16.512.3	16.600.6	16.611.8	16.360.9	204.07	-0.54%							
24/11/2022	16.601.2	16.604.9	16.785.6	16.472.0	229.59	-0.14%							
23/11/2022	16.623.9	16.216.9	16.677.6	16.162.3	305.08	2.53%							
22/11/2022	16.212.9	15.776.6	16.274.6	15.620.4	287.21	2.77%							
21/11/2022	15.776.2	16.278.6	16.287.9	15.504.2	372.15	-3.13%							
20/11/2022	16.286.7	16.699.3	16.749.3	16.209.2	172.83	-2.47%							
19/11/2022	16.699.2	16.652.2	16.814.9	16.608.9	114.89	0.37%							
18/11/2022	16.638.3	16.715.4	16.846.3	16.553.0	241.96	-0.32%							
17/11/2022	16.691.2	16.540.5	16.739.7	16.425.8	257.00	0.91%							
16/11/2022	16.540.5	16.895.4	16.993.4	16.408.2	295.73	-2.10%							
15/11/2022	16.895.1	16.615.0	17.112.0	16.543.9	337.15	1.69%							
14/11/2022	16.613.7	16.325.0	17.158.4	15.834.0	442.46	1.77%							
13/11/2022	16.324.5	16.803.9	16.946.5	16.274.9	210.80	-2.80%							
12/11/2022	16.795.2	17.049.9	17.100.8	16.633.9	192.91	-1.49%							
11/11/2022	17.049.9	17.589.1	17.679.4	16.435.5	466.35	-3.07%							
10/11/2022	17.589.1	15.887.0	18.138.2	15.799.3	720.74	10.71%							
09/11/2022	15.886.9	18.538.9	18.583.8	15.603.3	869.57	-14.25%							
08/11/2022	18.527.4	20.589.0	20.667.5	17.260.0	865.10	-10.01%							
07/11/2022	20.589.0	20.916.3	21.055.4	20.410.5	414.24	-1.56%							
06/11/2022	20.916.3	21.298.7	21.360.4	20.901.0	242.26	-1.81%							
05/11/2022	21.301.6	21.145.7	21.464.7	21.084.1	261.23	0.74%							
04/11/2022	21.145.9	20.206.4	21.281.9	20.184.6	499.50	4.65%							
03/11/2022	20.206.4	20.154.0	20.384.5	20.066.6	347.23	0.26%							
02/11/2022	20.154.4	20.482.9	20.778.3	20.065.8	420.23	-1.61%							
01/11/2022	20.483.5	20.496.1	20.676.6	20.348.1	302.72	-0.06%							
31/10/2022	20.496.3	20.626.0	20.822.4	20.260.0	327.47	-0.63%							
30/10/2022	20.626.3	20.809.4	20.922.3	20.522.5	207.63	-0.88%							
29/10/2022	20.809.8	20.594.2	21.038.1	20.561.9	276.54	1.05%							
28/10/2022	20.594.4	20.293.0	20.744.0	20.058.2	318.90	1.49%							
27/10/2022	20.292.9	20.769.5	20.867.9	20.231.6	365.49	-2.29%							
26/10/2022	20.769.5	20.086.8	20.981.5	20.062.9	427.99	3.42%							
25/10/2022	20.082.7	19.331.8	20.406.9	19.249.0	371.54	3.89%							
24/10/2022	19.331.5	19.571.2	19.588.6	19.177.2	286.94	-1.22%							
23/10/2022	19.571.2	19.204.8	19.680.9	19.092.5	180.63	1.91%							
22/10/2022	19.204.8	19.162.6	19.249.9	19.116.1	118.24	0.22%							
21/10/2022	19.162.6	19.042.9	19.245.5	18.703.3	294.66	0.63%							
20/10/2022	19.042.9	19.125.1	19.334.5	18.935.6	253.20	-0.42%							
19/10/2022	19.123.9	19.328.2	19.358.6	19.101.2	209.28	-1.06%							
18/10/2022	19.328.2	19.548.4	19.692.9	19.102.8	290.07	-1.13%							
17/10/2022	19.548.2	19.262.2	19.663.5	19.163.6	248.40	1.49%							
16/10/2022	19.261.9	19.068.8	19.411.9	19.066.0	140.95	1.01%							
15/10/2022	19.068.7	19.181.7	19.218.7	19.000.8	123.66	-0.59%							
14/10/2022	19.181.8	19.379.8	19.933.9	19.098.6	400.45	-1.02%							
13/10/2022	19.379.8	19.154.6	19.494.4	18.207.9	455.13	1.17%							
12/10/2022	19.154.8	19.058.5	19.212.6	19.010.6	242.18	0.50%							
11/10/2022	19.059.1	19.134.3	19.261.3	18.868.7	288.57	-0.39%							
10/10/2022	19.134.6	19.441.7	19.520.7	19.057.0	243.77	-1.58%							
09/10/2022	19.441.0	19.416.3	19.552.1	19.329.6	127.53	0.13%							
08/10/2022	19.415.0	19.530.2	19.612.2	19.274.7	113.50	-0.60%							
07/10/2022	19.531.3	19.962.4	20.051.4	19.352.1	263.50	-2.13%							
06/10/2022	19.956.7	20.157.5	20.436.7	19.873.7	370.60	-1.00%							
05/10/2022	20.157.5	20.340.5	20.353.8	19.761.7	352.76	-0.90%							
04/10/2022	20.340.2	19.629.7	20.436.1	19.506.4	368.17	3.63%							
03/10/2022	19.628.3	19.057.6	19.676.0	19.001.3	333.03	3.02%							
02/10/2022	19.052.2	19.311.9	19.389.9	18.937.3	222.82	-1.34%							
