Date;Price;Open;High;Low;Vol;Change
45128;299031;298010;300589;297399;32.59;0.34%
45127;298010;299097;304080;296214;50.33;-0.36%
45126;299097;298667;301855;297893;34.96;0.14%
45125;298668;301397;302424;296246;42.40;-0.91%
45124;301397;302355;303359;296933;42.84;-0.32%
45123;302355;302918;304350;300754;20.31;-0.18%
45122;302914;303168;303954;302469;17.06;-0.09%
45121;303174;314654;316026;299443;82.42;-3.65%
45120;314661;303873;317645;302600;99.81;3.55%
45119;303873;306233;309513;302317;54.06;-0.77%
45118;306233;304142;307822;303338;39.84;0.68%
45117;304153;301669;310196;299691;55.24;0.82%
45116;301669;302888;304255;300719;20.05;-0.40%
45115;302888;303468;303799;300559;17.41;-0.19%
45114;303464;299127;304420;297574;46.42;1.45%
45113;299131;305128;314636;298690;90.81;-1.97%
45112;305128;307686;308756;302333;43.23;-0.83%
45111;307684;311520;313265;306578;42.12;-1.23%
45110;311513;306175;313770;305815;56.49;1.74%
45109;306177;305871;307690;302279;28.82;0.10%
45108;305868;304729;306499;303290;22.46;0.37%
45107;304729;304457;312755;297145;118.65;0.09%
45106;304457;300773;308231;300513;49.57;1.22%
45105;300786;306919;307034;299195;51.06;-1.99%
45104;306891;302670;309937;302313;55.82;1.39%
45103;302670;304663;306459;299863;58.71;-0.65%
45102;304653;305336;310402;303158;37.12;-0.22%
45101;305336;306807;307953;302694;38.15;-0.48%
45100;306794;298902;313954;298226;98.85;2.64%
45099;298905;299928;304978;295904;79.22;-0.35%
45098;299969;283077;307695;282705;143.49;5.97%
45097;283077;268459;283930;266655;100.55;5.44%
45096;268459;263397;270297;262951;46.45;1.92%
45095;263397;265150;266793;262906;27.31;-0.66%
45094;265150;263413;267673;261835;35.86;0.66%
45093;263413;255919;264728;252760;69.24;2.93%
45092;255913;251295;257328;248380;68.38;1.84%
45091;251295;259290;260517;248474;60.82;-3.08%
45090;259294;259069;264289;257264;56.24;0.09%
45089;259068;259279;260807;256350;40.75;-0.08%
45088;259284;258433;261901;256608;39.20;0.33%
45087;258440;264793;265251;254683;83.57;-2.40%
45086;264793;265011;267739;263267;38.96;-0.08%
45085;265011;263418;267844;262313;39.95;0.60%
45084;263425;272302;273420;261410;77.48;-3.26%
45083;272302;257456;273252;254256;88.61;5.76%
45082;257474;271223;271255;254375;85.42;-5.07%
45081;271223;270709;274102;269561;23.81;0.19%
45080;270720;272460;273175;269314;20.62;-0.63%
45079;272447;268190;272994;265413;49.37;1.59%
45078;268190;272164;273409;266623;51.98;-1.46%
45077;272161;276969;278250;268651;63.08;-1.74%
45076;276982;277389;280336;275838;45.19;-0.15%
45075;277394;280684;284312;275488;54.56;-1.18%
45074;280712;268553;281819;267885;55.23;4.52%
45073;268575;267112;268829;265912;18.68;0.55%
45072;267115;264755;269116;263300;45.88;0.89%
45071;264758;263271;265892;258925;50.17;0.56%
45070;263284;272207;272207;260887;72.65;-3.28%
45069;272207;268516;274481;268041;50.89;1.39%
45068;268473;267499;270489;265461;35.56;0.36%
45067;267499;271162;272571;266776;27.42;-1.35%
45066;271162;268830;271472;268313;17.72;0.87%
45065;268829;268282;271547;267113;36.67;0.20%
45064;268280;274038;274670;264498;63.39;-2.10%
45063;274031;270355;274653;265977;58.14;1.36%
45062;270353;271839;272953;268819;45.29;-0.55%
45061;271839;269204;276517;267521;53.27;0.98%
45060;269200;267774;271761;266099;26.35;0.53%
45059;267775;267987;270119;266956;27.95;-0.08%
45058;267992;269831;270440;258531;87.49;-0.68%
45057;269835;276043;276074;267662;62.85;-2.25%
45056;276033;276343;283117;268857;91.45;-0.11%
45055;276349;276705;278160;273663;49.75;-0.13%
45054;276705;284248;286278;272803;85.72;-2.65%
45053;284248;288571;291220;284196;36.50;-1.50%
45052;288571;295128;298164;284149;58.94;-2.22%
45051;295132;288422;296539;288253;74.52;2.33%
45050;288421;290236;293527;286874;53.80;-0.63%
45049;290236;286691;292447;281644;81.22;1.24%
45048;286691;280790;288774;279132;65.33;2.11%
45047;280776;292521;293296;276859;84.36;-4.02%
45046;292521;292351;299413;290950;47.62;0.06%
45045;292341;293184;294255;290585;25.72;-0.30%
45044;293218;294759;295872;289278;69.88;-0.52%
45043;294759;284245;298598;283924;121.63;3.70%
45042;284246;282988;299957;273078;164.31;0.44%
45041;282988;275101;283756;272011;65.31;2.87%
45040;275093;275914;279788;270543;66.74;-0.30%
45039;275914;278138;278150;273885;41.77;-0.80%
45038;278139;272648;278720;271657;44.30;2.01%
45037;272648;282405;283534;271711;98.72;-3.46%
45036;282405;288137;290821;280324;95.45;-1.99%
45035;288137;303822;304084;286411;111.27;-5.16%
45034;303822;294341;304701;291492;76.58;3.22%
