Date,Price,Open,High,Low,Vol.,Change %
45247,365954,361618,366906,358752,51.37K,1.20%
45246,361612,378739,379076,355616,66.92K,-4.52%
45245,378749,355493,379541,353796,75.51K,6.54%
45244,355493,364783,367445,349843,63.56K,-2.55%
45243,364783,370678,374046,363584,44.55K,-1.58%
45242,370644,37149,372153,367619,21.45K,-0.23%
45241,371505,373063,374013,367676,29.53K,-0.41%
45240,37303,367005,374961,363472,59.56K,1.64%
45239,367005,356369,37942,355781,115.56K,2.98%
45238,356369,354262,360502,351488,46.33K,0.60%
45237,354261,350421,358779,345369,53.49K,1.10%
45236,35042,350203,352756,347429,29.81K,0.06%
45235,350194,350658,353602,3455,31.02K,-0.13%
45234,350658,347186,352422,346011,23.80K,1.00%
45233,347187,349314,349406,341242,54.54K,-0.61%
45232,349314,354238,359076,343574,63.66K,-1.39%
45231,354238,346483,355575,341387,71.66K,2.23%
45230,346506,344789,347046,340539,43.40K,0.50%
45229,344779,345267,348533,340895,45.20K,-0.14%
45228,345267,340826,347379,339376,27.72K,1.30%
45227,340826,339016,343878,338673,22.00K,0.53%
45226,339018,341537,342458,334236,47.33K,-0.74%
45225,341537,344976,34826,337499,56.62K,-0.99%
45224,344968,33917,351239,337134,75.81K,1.71%
45223,33917,330373,351914,328665,159.08K,2.65%
45222,330418,299842,343756,298914,133.46K,10.20%
45221,299842,299127,301934,297136,29.07K,0.24%
45220,299129,296747,302648,294691,34.68K,0.80%
45219,296745,28724,301659,285861,82.68K,3.31%
45218,28723,283218,288838,281702,50.10K,1.42%
45217,283217,284052,28876,28169,45.01K,-0.29%
45216,284036,285083,286085,280969,53.42K,-0.37%
45215,285097,271612,299695,271197,119.18K,4.96%
45214,271612,268528,272869,268126,21.95K,1.15%
45213,268528,268635,269757,268051,13.56K,-0.04%
45212,268635,267611,271148,266829,33.66K,0.38%
45211,267611,268782,269428,265653,32.75K,-0.43%
45210,268766,273919,274759,265584,55.78K,-1.88%
45209,27391,275815,277281,273001,34.32K,-0.69%
45208,275814,279227,279864,272795,44.81K,-1.22%
45207,279227,279611,280975,277144,24.11K,-0.14%
45206,279611,279355,280213,27859,17.29K,0.09%
45205,279369,274103,282236,271957,52.51K,1.92%
45204,274103,277835,280891,273717,46.26K,-1.37%
45203,277909,274287,278327,272425,40.93K,1.32%
45202,274284,275016,276708,271941,44.06K,-0.28%
45201,275053,279746,285566,273252,84.30K,-1.68%
45200,279745,269625,280384,269557,35.11K,3.75%
45199,269627,269081,270857,268875,17.55K,0.20%
45198,269098,270226,272295,267288,42.24K,-0.42%
45197,270226,263682,272836,263394,64.56K,2.49%
45196,263661,262189,268369,261091,50.80K,0.56%
45195,262189,263031,263962,260934,26.41K,-0.32%
45194,263027,262516,264236,260136,38.20K,0.20%
45193,262515,26579,267276,261622,22.32K,-1.23%
45192,265792,265817,266362,265175,12.92K,-0.01%
45191,265819,265695,267364,264885,28.79K,0.04%
45190,2657,271252,271556,263823,47.81K,-2.05%
45189,27125,272092,273786,268518,47.23K,-0.31%
45188,272092,26759,274807,266722,52.17K,1.67%
45187,267635,265303,274133,264052,63.35K,0.88%
45186,265291,26562,266144,264087,16.57K,-0.12%
45185,26562,265999,26769,264635,18.45K,-0.15%
45184,26601,265233,268374,262331,36.47K,0.29%
45183,265247,26223,267603,261486,53.82K,1.15%
45182,26223,258361,263823,257669,42.58K,1.50%
45181,258345,251664,264726,251335,78.71K,2.65%
45180,251664,258402,258974,249231,56.32K,-2.61%
45179,258402,259011,259951,256267,23.60K,-0.24%
45178,259011,259095,259385,258143,13.48K,-0.03%
45177,259095,262485,264154,257016,41.01K,-1.30%
45176,262498,25758,264177,256265,39.77K,1.91%
45175,25758,257901,260184,254117,37.78K,-0.13%
45174,257902,258244,25864,255963,28.40K,-0.13%
45173,258233,25971,260942,256609,27.13K,-0.57%
45172,25971,258697,260904,258166,21.36K,0.39%
45171,258697,258035,259774,257527,21.24K,0.26%
45170,258032,259383,261449,253619,58.08K,-0.52%
45169,259373,273006,274645,25731,69.11K,-4.99%
45168,272988,277239,277573,270432,46.54K,-1.53%
45167,277239,261181,28046,259198,98.32K,6.14%
45166,261189,261006,262157,25891,28.84K,0.07%
45165,261006,260171,261768,259687,14.29K,0.32%
45164,260171,260572,261141,259935,12.09K,-0.15%
45163,260572,261761,262657,258116,39.96K,-0.46%
45162,26177,264362,265605,259436,41.04K,-0.98%
45161,264362,26042,268077,258126,60.96K,1.52%
45160,260399,261268,261388,254819,47.72K,-0.33%
45159,26126,261908,262209,258508,41.10K,-0.25%
45158,261908,260995,262691,259985,24.00K,0.35%
45157,260994,260533,262622,257995,33.04K,0.18%
45156,260532,266357,268019,25691,93.05K,-2.19%
45155,266357,287261,287718,254894,132.92K,-7.28%
45154,287263,291953,292511,287176,43.71K,-1.61%
45153,291953,294267,29472,291186,33.81K,-0.79%
45152,294267,293001,29689,29116,39.30K,0.43%
45151,293001,294282,294685,292723,13.49K,-0.44%
45150,294282,294208,294808,293754,11.07K,0.02%
45149,294208,294489,295449,292712,27.71K,-0.10%
45148,29449,29578,297194,293775,32.00K,-0.44%
45147,29578,297713,30104,293842,49.67K,-0.67%
45146,297774,292042,301686,291377,62.57K,1.96%
45145,292042,290813,292702,28721,41.19K,0.42%
45144,290813,290679,291989,289874,16.03K,0.05%
45143,290681,291056,291393,28983,14.55K,-0.13%
45142,291055,291891,293191,288758,31.43K,-0.29%
45141,291893,291809,294098,28981,36.08K,0.05%
45140,291737,297118,300259,289616,67.41K,-1.81%
45139,297122,292323,297122,28611,64.01K,1.64%
45138,292324,29282,295023,291283,31.84K,-0.17%
45137,292817,293542,294466,290545,20.58K,-0.24%
45136,293535,29315,294001,292569,13.90K,0.13%
45135,29315,292227,29533,291251,31.42K,0.32%
45134,292227,293529,295688,29094,30.42K,-0.44%
45133,293522,292288,296818,291097,44.33K,0.42%
45132,292286,291783,293654,290587,29.05K,0.17%
45131,291781,300859,300982,288907,55.73K,-3.02%
45130,300859,297889,30337,297357,23.32K,1.00%
45129,297889,299045,29988,296573,18.47K,-0.38%
45128,299031,29801,300589,297399,32.59K,0.34%
45127,29801,299097,30408,296214,50.33K,-0.36%
45126,299097,298667,301855,297893,34.96K,0.14%
45125,298668,301397,302424,296246,42.40K,-0.91%
45124,301397,302355,303359,296933,42.84K,-0.32%
45123,302355,302918,30435,300754,20.31K,-0.18%
45122,302914,303168,303954,302469,17.06K,-0.09%
45121,303174,314654,316026,299443,82.42K,-3.65%
45120,314661,303873,317645,3026,99.81K,3.55%
45119,303873,306233,309513,302317,54.06K,-0.77%
45118,306233,304142,307822,303338,39.84K,0.68%
45117,304153,301669,310196,299691,55.24K,0.82%
45116,301669,302888,304255,300719,20.05K,-0.40%
45115,302888,303468,303799,300559,17.41K,-0.19%
45114,303464,299127,30442,297574,46.42K,1.45%
45113,299131,305128,314636,29869,90.81K,-1.97%
45112,305128,307686,308756,302333,43.23K,-0.83%
45111,307684,31152,313265,306578,42.12K,-1.23%
45110,311513,306175,31377,305815,56.49K,1.74%
45109,306177,305871,30769,302279,28.82K,0.10%
45108,305868,304729,306499,30329,22.46K,0.37%
45107,304729,304457,312755,297145,118.65K,0.09%
45106,304457,300773,308231,300513,49.57K,1.22%
45105,300786,306919,307034,299195,51.06K,-1.99%
45104,306891,30267,309937,302313,55.82K,1.39%
45103,30267,304663,306459,299863,58.71K,-0.65%
45102,304653,305336,310402,303158,37.12K,-0.22%
45101,305336,306807,307953,302694,38.15K,-0.48%
45100,306794,298902,313954,298226,98.85K,2.64%
45099,298905,299928,304978,295904,79.22K,-0.35%
45098,299969,283077,307695,282705,143.49K,5.97%
45097,283077,268459,28393,266655,100.55K,5.44%
45096,268459,263397,270297,262951,46.45K,1.92%
45095,263397,26515,266793,262906,27.31K,-0.66%
45094,26515,263413,267673,261835,35.86K,0.66%
45093,263413,255919,264728,25276,69.24K,2.93%
45092,255913,251295,257328,24838,68.38K,1.84%
45091,251295,25929,260517,248474,60.82K,-3.08%
45090,259294,259069,264289,257264,56.24K,0.09%
45089,259068,259279,260807,25635,40.75K,-0.08%
45088,259284,258433,261901,256608,39.20K,0.33%
45087,25844,264793,265251,254683,83.57K,-2.40%
45086,264793,265011,267739,263267,38.96K,-0.08%
45085,265011,263418,267844,262313,39.95K,0.60%
45084,263425,272302,27342,26141,77.48K,-3.26%
45083,272302,257456,273252,254256,88.61K,5.76%
45082,257474,271223,271255,254375,85.42K,-5.07%
45081,271223,270709,274102,269561,23.81K,0.19%
45080,27072,27246,273175,269314,20.62K,-0.63%
45079,272447,26819,272994,265413,49.37K,1.59%
45078,26819,272164,273409,266623,51.98K,-1.46%
45077,272161,276969,27825,268651,63.08K,-1.74%
45076,276982,277389,280336,275838,45.19K,-0.15%
45075,277394,280684,284312,275488,54.56K,-1.18%
45074,280712,268553,281819,267885,55.23K,4.52%
45073,268575,267112,268829,265912,18.68K,0.55%
45072,267115,264755,269116,2633,45.88K,0.89%
45071,264758,263271,265892,258925,50.17K,0.56%
45070,263284,272207,272207,260887,72.65K,-3.28%
45069,272207,268516,274481,268041,50.89K,1.39%
45068,268473,267499,270489,265461,35.56K,0.36%
45067,267499,271162,272571,266776,27.42K,-1.35%
45066,271162,26883,271472,268313,17.72K,0.87%
45065,268829,268282,271547,267113,36.67K,0.20%
45064,26828,274038,27467,264498,63.39K,-2.10%
45063,274031,270355,274653,265977,58.14K,1.36%
45062,270353,271839,272953,268819,45.29K,-0.55%
45061,271839,269204,276517,267521,53.27K,0.98%
45060,2692,267774,271761,266099,26.35K,0.53%
45059,267775,267987,270119,266956,27.95K,-0.08%
45058,267992,269831,27044,258531,87.49K,-0.68%
45057,269835,276043,276074,267662,62.85K,-2.25%
45056,276033,276343,283117,268857,91.45K,-0.11%
45055,276349,276705,27816,273663,49.75K,-0.13%
45054,276705,284248,286278,272803,85.72K,-2.65%
45053,284248,288571,29122,284196,36.50K,-1.50%
45052,288571,295128,298164,284149,58.94K,-2.22%
45051,295132,288422,296539,288253,74.52K,2.33%
45050,288421,290236,293527,286874,53.80K,-0.63%
45049,290236,286691,292447,281644,81.22K,1.24%
45048,286691,28079,288774,279132,65.33K,2.11%
45047,280776,292521,293296,276859,84.36K,-4.02%
45046,292521,292351,299413,29095,47.62K,0.06%
45045,292341,293184,294255,290585,25.72K,-0.30%
45044,293218,294759,295872,289278,69.88K,-0.52%
45043,294759,284245,298598,283924,121.63K,3.70%
45042,284246,282988,299957,273078,164.31K,0.44%
45041,282988,275101,283756,272011,65.31K,2.87%
45040,275093,275914,279788,270543,66.74K,-0.30%
45039,275914,278138,27815,273885,41.77K,-0.80%
45038,278139,272648,27872,271657,44.30K,2.01%
45037,272648,282405,283534,271711,98.72K,-3.46%
45036,282405,288137,290821,280324,95.45K,-1.99%
45035,288137,303822,304084,286411,111.27K,-5.16%
45034,303822,294341,304701,291492,76.58K,3.22%
45033,294349,303108,303122,29274,71.90K,-2.89%
45032,303103,302992,305453,301346,34.48K,0.04%
45031,302996,304726,305865,302088,31.71K,-0.57%
45030,304725,303874,309649,30026,98.38K,0.28%
45029,303874,298924,305241,298645,65.87K,1.68%
45028,298864,302098,30473,296795,78.69K,-1.07%
45027,302096,29641,304846,295978,89.38K,1.92%
45026,29641,283265,297554,281829,85.73K,4.64%
45025,283266,279412,285227,278092,39.35K,1.38%
45024,279412,279104,281531,278638,23.73K,0.11%
45023,279104,280376,281025,277794,30.94K,-0.45%
45022,280367,281735,281735,277345,51.29K,-0.49%
45021,281735,281644,287444,278235,77.32K,0.03%
45020,281644,278022,284291,276689,64.06K,1.30%
45019,278021,281947,284584,272569,98.00K,-1.41%
45018,281983,284561,285228,278717,45.04K,-0.91%
45017,284561,284737,287951,282856,38.09K,-0.06%
45016,284737,280293,286463,275875,98.44K,1.58%
45015,280295,283503,291604,277167,122.51K,-1.13%
45014,283504,272629,286274,272498,109.32K,3.99%
45013,272622,271278,27465,266656,94.16K,0.49%
45012,271298,279748,280233,266115,107.24K,-3.02%
45011,279735,274749,281537,274291,60.64K,1.81%
45010,274756,274622,277619,271767,61.36K,0.05%
45009,274622,283069,283745,270265,110.36K,-3.00%
45008,283107,272628,287341,271446,158.46K,3.85%
45007,272617,281142,287603,266687,262.03K,-3.03%
45006,28114,277198,284378,273506,438.78K,1.42%
45005,277205,279589,284578,27157,503.90K,-0.85%
45004,279587,269145,283473,268446,393.27K,3.88%
45003,269145,273919,276591,266887,392.47K,-1.74%
45002,273918,250044,277422,249001,674.96K,9.55%
45001,250041,242832,25139,241479,462.58K,2.97%
45000,242827,246996,251089,239324,614.31K,-1.69%
44999,246997,241215,263659,239946,753.06K,2.43%
44998,241144,219948,244062,218596,733.63K,9.64%
44997,219948,20465,220286,202942,455.69K,7.46%
44996,204675,201565,206695,197967,453.46K,1.54%
44995,201567,20362,203626,195918,655.27K,-1.01%
44994,203618,217108,218265,200796,468.76K,-6.21%
44993,217108,221978,222743,216613,316.51K,-2.19%
44992,221978,224101,225351,219686,304.75K,-0.95%
44991,2241,224282,225954,223201,215.31K,-0.08%
44990,224283,223471,226367,222135,160.57K,0.36%
44989,223471,223547,224037,221674,123.93K,-0.03%
44988,223544,234656,234734,220519,344.63K,-4.73%
44987,234654,236422,237805,232087,249.26K,-0.75%
44986,236422,231306,239141,230253,328.77K,2.21%
44985,231305,23494,23595,230338,275.10K,-1.55%
44984,234941,235587,238762,231668,297.65K,-0.27%
44983,235587,231661,236718,23066,209.12K,1.69%
44982,231661,231913,232153,227774,198.35K,-0.11%
44981,231915,239364,241234,229703,367.99K,-3.11%
44980,239363,241866,245904,236379,417.46K,-1.03%
44979,241866,244507,244743,235934,400.24K,-1.08%
44978,244507,248395,252368,241608,395.97K,-1.57%
44977,248395,243028,250854,238686,363.02K,2.21%
44976,243029,246313,251752,242737,312.64K,-1.33%
44975,246314,245735,248389,24457,223.77K,0.24%
44974,245735,235382,249847,23373,523.85K,4.39%
44973,235396,243281,252338,235259,484.50K,-3.24%
44972,243279,221985,243309,220508,401.53K,9.59%
44971,221985,217769,223086,215562,378.39K,1.96%
44970,217726,217827,218875,214187,312.04K,-0.07%
44969,217868,218599,220807,216531,211.65K,-0.33%
44968,218598,216274,219029,216053,182.07K,1.04%
44967,21635,217925,219336,214917,352.79K,-0.72%
44966,217925,229646,230036,217446,425.44K,-5.10%
44965,229646,232517,234251,226917,289.12K,-1.23%
44964,232517,227618,233388,227482,318.98K,2.15%
44963,227618,22936,231306,226337,278.58K,-0.76%
44962,22936,233269,234234,227665,217.26K,-1.66%
44961,233238,234312,235718,232698,170.27K,-0.46%
